Function,Calls,Total Time (s),Per Call Time (s),Cumulative Time (s)
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 378, 'disp_len')",132,7.891400000000001e-05,5.978333333333334e-07,0.00558942
"('<frozen importlib._bootstrap_external>', 1062, 'get_code')",21,7.3872e-05,3.5177142857142858e-06,0.005576416000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 374, '_text_width')",132,0.000122669,9.29310606060606e-07,0.005366549
"('~', 0, '<built-in method builtins.sum>')",132,0.000988151,7.485992424242425e-06,0.00524388
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/__init__.py', 1, '<module>')",1,3.75e-06,3.75e-06,0.005083042
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/synchronize.py', 193, '__init__')",1,2.459e-06,2.459e-06,0.005038917
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/synchronize.py', 50, '__init__')",1,5.4457000000000004e-05,5.4457000000000004e-05,0.005036458000000001
"('~', 0, ""<method 'get' of 'dict' objects>"")",40298,0.004829839000000001,1.1985306963124722e-07,0.004829839000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py', 583, 'savez')",3,1.8541e-05,6.180333333333333e-06,0.004764333
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py', 741, '_savez')",3,8.9793e-05,2.9931e-05,0.004744292000000001
"('<frozen importlib._bootstrap>', 806, 'module_from_spec')",25,2.6081000000000003e-05,1.04324e-06,0.00444179
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 375, '<genexpr>')",17476,0.0018903600000000002,1.0816891737239644e-07,0.004255729000000001
"('<frozen importlib._bootstrap_external>', 1183, 'get_data')",21,3.1336e-05,1.4921904761904762e-06,0.004234957
"('<frozen importlib._bootstrap_external>', 1287, 'create_module')",3,2.9140000000000004e-06,9.713333333333335e-07,0.004170208
"('~', 0, '<built-in method _imp.create_dynamic>')",3,0.004164791,0.0013882636666666668,0.004164791
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 1, '<module>')",1,3.75e-06,3.75e-06,0.004022875
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/__init__.py', 1, '<module>')",1,1.1124e-05,1.1124e-05,0.003733
"('~', 0, ""<method 'read' of '_io.BufferedReader' objects>"")",21,0.003251166,0.00015481742857142858,0.003251166
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/stochastic.py', 129, 'save_simulation_data')",1,3.0334e-05,3.0334e-05,0.0032087500000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/copy.py', 118, 'deepcopy')",80,0.00019804300000000001,2.4755375000000004e-06,0.003192255
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 370, 'save_simulation_data')",1,7.0039e-05,7.0039e-05,0.003185292
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 952, '__init__')",2,0.00012079400000000001,6.0397000000000005e-05,0.0028086250000000004
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/copy.py', 102, '_copy_immutable')",40001,0.002798128,6.995145121371966e-08,0.002798128
"('~', 0, ""<method '__deepcopy__' of 'numpy.ndarray' objects>"")",80,0.0027917930000000003,3.489741250000001e-05,0.0027917930000000003
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/resource_tracker.py', 172, 'register')",1,2.334e-06,2.334e-06,0.002669084
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/resource_tracker.py', 180, '_send')",1,2.4499e-05,2.4499e-05,0.0026667500000000003
"('<frozen importlib._bootstrap>', 1390, '_handle_fromlist')",16,1.6044e-05,1.00275e-06,0.002657211
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/resource_tracker.py', 94, 'ensure_running')",1,5.0418000000000004e-05,5.0418000000000004e-05,0.0026355000000000003
"('~', 0, '<built-in method builtins.__import__>')",3,7.293e-06,2.431e-06,0.002634458
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 386, 'disp_trim')",44,2.3046000000000003e-05,5.237727272727274e-07,0.0025633770000000004
"('~', 0, ""<method '__exit__' of '_io._IOBase' objects>"")",37,0.0022387870000000003,6.050775675675677e-05,0.002465413
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/cli.py', 1, '<module>')",1,1.4708e-05,1.4708e-05,0.002461708
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/util.py', 450, 'spawnv_passfds')",1,4.7334000000000005e-05,4.7334000000000005e-05,0.002448542
"('~', 0, '<built-in method _posixsubprocess.fork_exec>')",1,0.0023822080000000002,0.0023822080000000002,0.0023822080000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 457, 'print_status')",44,8.6087e-05,1.9565227272727274e-06,0.002380207
"('~', 0, '<built-in method unicodedata.east_asian_width>')",17344,0.002365369,1.3637967020295203e-07,0.002365369
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/numeric.py', 143, 'ones')",2000,0.001822108,9.11054e-07,0.002304149
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py', 685, 'write_array')",13,0.00010196200000000001,7.84323076923077e-06,0.0021414570000000003
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/synchronize.py', 1, '<module>')",1,9.5e-06,9.5e-06,0.002007833
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/resource_tracker.py', 1, '<module>')",1,9.497e-06,9.497e-06,0.0019136670000000002
"('~', 0, '<built-in method _io.open>')",7,0.001902999,0.000271857,0.001905708
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 333, '_screen_shape_linux')",2,6.1751e-05,3.08755e-05,0.001863917
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/__init__.py', 1, '<module>')",1,1.2955e-05,1.2955e-05,0.0018193340000000001
"('<frozen importlib._bootstrap>', 1240, '_find_spec')",25,0.000111582,4.46328e-06,0.001780377
"('<frozen importlib._bootstrap_external>', 1520, 'find_spec')",24,1.3417e-05,5.590416666666667e-07,0.0015312090000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py', 90, 'zipfile_factory')",3,2.2333e-05,7.4443333333333334e-06,0.001521584
"('<frozen importlib._bootstrap_external>', 1491, '_get_spec')",24,3.4252000000000003e-05,1.4271666666666669e-06,0.001517792
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1292, '__init__')",3,4.2749e-05,1.4249666666666667e-05,0.0014984590000000002
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/PDE.py', 56, 'save_simulation_data')",1,9.417e-06,9.417e-06,0.0014606250000000001
"('<frozen importlib._bootstrap_external>', 1593, 'find_spec')",34,0.000164155,4.828088235294118e-06,0.00140879
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 1652, '_array_str_implementation')",3,7.3340000000000004e-06,2.4446666666666667e-06,0.001142542
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/multiprocessing/context.py', 1, '<module>')",1,1.5040000000000002e-05,1.5040000000000002e-05,0.001141291
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 582, 'array2string')",3,1.5831e-05,5.2770000000000005e-06,0.001135208
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1200, 'write')",26,4.5461000000000004e-05,1.7485e-06,0.001134204
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 527, 'wrapper')",3,1.1752e-05,3.917333333333333e-06,0.001101084
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 544, '_array2string')",3,1.6707e-05,5.569e-06,0.001086333
"('<frozen importlib._bootstrap_external>', 751, '_compile_bytecode')",21,1.8911000000000002e-05,9.005238095238096e-07,0.001013917
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/linalg/_linalg.py', 493, 'inv')",2,0.0009653750000000001,0.00048268750000000004,0.001004583
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/PDE.py', 7, '__init__')",1,4.25e-05,4.25e-05,0.000989
"('~', 0, '<built-in method marshal.loads>')",21,0.000982002,4.6762000000000004e-05,0.000982002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1, '<module>')",1,1.3081e-05,1.3081e-05,0.000965125
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 9, '__init__')",1,2.1251e-05,2.1251e-05,0.0009508330000000001
"('~', 0, '<built-in method _io.open_code>')",21,0.0009107910000000001,4.3371e-05,0.0009107910000000001
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/hybrid.py', 51, 'create_crank_nicholson')",1,0.000348041,0.000348041,0.0008387500000000001
"('~', 0, '<built-in method builtins.__build_class__>')",58,0.000459714,7.926103448275862e-06,0.00083434
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/PDE.py', 29, 'create_crank_nicholson')",1,0.00021654200000000001,0.00021654200000000001,0.000828292
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 451, 'fp_write')",44,6.2705e-05,1.4251136363636364e-06,0.0007949560000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 194, 'inner')",92,3.5159e-05,3.8216304347826085e-07,0.0007365430000000001
"('~', 0, ""<method 'write' of '_io.TextIOWrapper' objects>"")",168,0.000708926,4.219797619047619e-06,0.000708926
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 473, '_get_format_function')",3,1.2289e-05,4.0963333333333335e-06,0.000682
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 432, '<lambda>')",3,6.96e-06,2.3200000000000002e-06,0.000662418
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 939, '__init__')",3,1.6291e-05,5.430333333333334e-06,0.000655458
"('~', 0, '<built-in method posix.stat>')",97,0.000645755,6.6572680412371135e-06,0.000645755
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 966, 'fillFormat')",3,0.00043107800000000005,0.00014369266666666667,0.0006377920000000001
"('<frozen importlib._bootstrap_external>', 140, '_path_stat')",94,1.7706e-05,1.8836170212765957e-07,0.0005917930000000001
"('~', 0, ""<method 'write' of '_io.BufferedRandom' objects>"")",110,0.000571662,5.196927272727273e-06,0.000571662
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/__init__.py', 226, 'compile')",3,3e-06,1e-06,0.000550917
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/__init__.py', 280, '_compile')",3,2.8458e-05,9.486e-06,0.0005479170000000001
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/lib/format.py', 432, '_write_array_header')",13,5.555e-05,4.273076923076923e-06,0.000526372
"('~', 0, '<built-in method zlib.crc32>')",26,0.000522374,2.0091307692307693e-05,0.000522374
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py', 740, 'compile')",3,1.0083e-05,3.361e-06,0.000488417
"('<frozen importlib._bootstrap_external>', 1644, '_fill_cache')",3,1.8917000000000002e-05,6.305666666666667e-06,0.00046020800000000004
"('~', 0, '<built-in method posix.listdir>')",3,0.00043308400000000003,0.00014436133333333334,0.00043308400000000003
"('~', 0, ""<method 'format' of 'str' objects>"")",96,0.000192465,2.00484375e-06,0.00042237700000000004
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1570, 'open')",13,4.5125000000000006e-05,3.4711538461538466e-06,0.00041462400000000005
"('<frozen importlib._bootstrap_external>', 159, '_path_isfile')",33,3.7290000000000004e-05,1.1300000000000002e-06,0.000397335
"('~', 0, '<built-in method _pickle.dump>')",1,0.000389126,0.000389126,0.0003935
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 806, '_formatArray')",3,7.083000000000001e-06,2.3610000000000003e-06,0.00038662500000000003
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/numpy/_core/arrayprint.py', 815, 'recurser')",3,0.00014032,4.6773333333333335e-05,0.000379542
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 102, 'acquire')",52,0.00010849400000000001,2.086423076923077e-06,0.00037741500000000003
"('~', 0, '<built-in method numpy.empty>')",2000,0.000372969,1.864845e-07,0.000372969
"('<frozen importlib._bootstrap_external>', 150, '_path_is_mode_type')",36,1.4836000000000002e-05,4.1211111111111114e-07,0.000368462
"('<frozen importlib._bootstrap>', 416, '__enter__')",25,1.6326000000000003e-05,6.530400000000001e-07,0.000334999
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1942, 'close')",6,1.3504000000000001e-05,2.250666666666667e-06,0.00033212700000000004
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 1265, 'close')",4,1.4335e-05,3.58375e-06,0.000326958
"('~', 0, ""<method 'tobytes' of 'numpy.ndarray' objects>"")",12,0.00027396,2.283e-05,0.00027396
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 400, 'format_interval')",86,0.000237452,2.7610697674418605e-06,0.000271246
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/utils.py', 1, '<module>')",1,1.4748e-05,1.4748e-05,0.000259458
"('~', 0, ""<method 'acquire' of '_multiprocessing.SemLock' objects>"")",52,0.000251629,4.839019230769231e-06,0.000251629
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/version.py', 1, '<module>')",1,1.7500000000000002e-06,1.7500000000000002e-06,0.0002455
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py', 969, 'parse')",3,9.665e-06,3.2216666666666666e-06,0.00024320800000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/site-packages/tqdm/std.py', 245, 'tqdm')",1,1.6250000000000002e-05,1.6250000000000002e-05,0.000242541
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 2058, '_fpclose')",3,3.041e-06,1.0136666666666667e-06,0.000234875
"('/Users/charliecameron/CodingHub/PhD/RCM/1D/production_project/production_project/stochastic.py', 38, 'create_initial_dataframe')",21,4.5331000000000004e-05,2.158619047619048e-06,0.000233541
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/json/__init__.py', 120, 'dump')",2,4.8283000000000005e-05,2.4141500000000003e-05,0.00023266700000000001
"('<frozen importlib._bootstrap>', 304, 'acquire')",35,7.2425e-05,2.0692857142857143e-06,0.000231961
"('~', 0, ""<method 'close' of '_io.BufferedRandom' objects>"")",3,0.00023183400000000002,7.7278e-05,0.00023183400000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_compiler.py', 573, '_code')",3,1.6333e-05,5.444333333333334e-06,0.000229874
"('<frozen importlib._bootstrap>', 733, '_init_module_attrs')",25,4.7204000000000004e-05,1.8881600000000001e-06,0.00022979100000000002
"('~', 0, '<built-in method now>')",42,0.00022846000000000002,5.43952380952381e-06,0.00022846000000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/re/_parser.py', 452, '_parse_sub')",3,3.0999e-05,1.0333e-05,0.00022733400000000002
"('/opt/miniconda3/envs/FastEnv/lib/python3.12/zipfile/__init__.py', 1219, 'close')",13,5.2041000000000005e-05,4.003153846153846e-06,0.000226626
